F, SD, SB, SC, SE
1, 100.0, 99.93, 99.93, 100.0
2, 99.93, 99.69, 99.93, 99.93
3, 99.93, 99.47, 99.69, 99.93
4, 99.93, 99.35, 99.69, 99.93
5, 99.93, 99.28, 99.69, 99.88
6, 99.88, 99.18, 99.66, 99.88
7, 99.78, 99.18, 99.61, 99.78
8, 99.76, 99.08, 99.42, 99.76
9, 99.76, 98.7, 99.42, 99.76
10, 99.49, 98.7, 99.42, 99.49
11, 99.47, 98.7, 99.4, 99.47
12, 99.47, 98.7, 99.4, 99.47
13, 99.47, 98.6, 99.28, 99.45
14, 99.44, 98.58, 99.28, 99.44
15, 99.44, 98.24, 99.18, 99.35
16, 99.35, 98.17, 99.18, 99.35
17, 99.35, 98.16, 99.18, 99.35
18, 99.35, 98.12, 99.13, 99.28
19, 99.28, 98.12, 99.11, 99.28
20, 99.28, 98.09, 99.03, 99.28
21, 99.27, 98.09, 98.98, 99.27
22, 99.27, 98.07, 98.98, 99.27
23, 99.27, 98.02, 98.98, 99.27
24, 99.27, 97.92, 98.98, 99.27
25, 99.27, 97.92, 98.65, 99.27
26, 99.27, 97.73, 98.6, 99.25
27, 99.25, 97.65, 98.6, 99.25
28, 99.25, 97.63, 98.57, 99.18
29, 99.18, 97.6, 98.57, 99.15
30, 99.18, 97.55, 98.5, 99.15
31, 99.15, 97.53, 98.47, 99.15
32, 99.15, 97.53, 98.42, 99.1
33, 99.1, 97.38, 98.33, 99.03
34, 99.08, 97.38, 98.33, 98.96
35, 98.71, 96.43, 98.3, 98.54
36, 98.74, 96.41, 98.28, 98.57
37, 98.76, 96.41, 98.28, 98.59
38, 98.79, 96.24, 98.01, 98.62
39, 98.81, 96.24, 97.79, 98.64
40, 98.83, 96.19, 97.79, 98.66
41, 98.86, 96.16, 97.79, 98.69
42, 98.88, 96.16, 97.69, 98.71
43, 98.91, 96.01, 97.69, 98.74
44, 98.93, 96.01, 97.69, 98.76
45, 98.86, 95.89, 97.59, 98.78
46, 98.78, 95.82, 97.57, 98.81
47, 98.81, 95.82, 97.57, 98.83
48, 98.83, 95.82, 97.47, 98.83
49, 98.83, 95.77, 97.42, 98.83
50, 98.83, 95.74, 97.42, 98.86
51, 98.86, 95.62, 97.42, 98.88
52, 98.88, 95.59, 97.3, 98.88
